stock,sample_count,before_gap_samples,after_gap_samples,inferred_denominator,denominator_min,denominator_max,denominator_abs_spread,denominator_rel_spread,db_max_adj,db_max_minus_inferred,db_max_matches_inferred,planned_factor_min,planned_factor_max
000669.SZ,34,14,20,3.651,3.651,3.651,0.0,0.0,3.651,0.0,True,1.0,1.0
000670.SZ,28,14,14,10.09,10.09,10.09,0.0,0.0,10.09,0.0,True,1.0,1.0
000679.SZ,34,14,20,5.763099960690055,5.763099960690055,5.763099960690055,0.0,0.0,5.7631,3.9309944632748284e-08,True,0.9999826550483704,0.9999826550483704
000681.SZ,33,14,19,5.075100014790563,5.075100014790563,5.075100014790563,0.0,0.0,5.0751,-1.4790563440669757e-08,True,0.9990147948265076,0.9990147948265076
000682.SZ,30,14,16,16.291799926423444,16.291799755921176,16.291799926423444,1.7050226830406245e-07,1.0465526772614436e-08,16.2918,7.357655462669754e-08,True,0.9925852417945862,0.9964276552200317
000683.SZ,33,14,19,8.6361,8.6361,8.6361,0.0,0.0,8.6361,0.0,True,1.0,1.0
000691.SZ,29,14,15,3.055,3.055,3.055,0.0,0.0,3.055,0.0,True,1.0,1.0
000692.SZ,34,14,20,12.19,12.19,12.19,0.0,0.0,12.19,0.0,True,1.0,1.0
000695.SZ,34,14,20,2.55,2.55,2.55,0.0,0.0,2.55,0.0,True,1.0,1.0
000697.SZ,31,14,17,3.8576000696737496,3.8576000696737496,3.8576000696737496,0.0,0.0,3.8576,-6.967374943656068e-08,True,0.952664852142334,0.952664852142334
000700.SZ,31,14,17,18.232200150296844,18.232200150296844,18.232200150296844,0.0,0.0,18.2322,-1.502968451916331e-07,True,0.978044331073761,0.978044331073761
000702.SZ,31,14,17,2.553,2.553,2.553,0.0,0.0,2.553,0.0,True,1.0,1.0
000703.SZ,28,14,14,9.886,9.886,9.886000243297655,2.43297655799779e-07,2.46103232652012e-08,9.886,0.0,True,1.0,1.0
000707.SZ,30,14,16,3.1884,3.1884,3.1884,0.0,0.0,3.1884,0.0,True,1.0,1.0
